raw_test	raw_control	normal_test	normal_control
82.9958	99.9649	6.09049	6.77243
437.024	581.513	8.32775	9.19563
51.687	58.734	5.392	6.02428
5555.21	8008.65	11.9908	12.6813
214.626	222.777	7.30223	7.9319
385.007	548.226	7.97394	9.16104
52.0915	70.8852	5.40989	6.16985
371.099	399.023	7.9753	8.66099
174.292	136.945	6.60665	7.41441
58.8721	64.9573	5.43882	6.35417
84.2142	110.344	6.10841	6.9012
2890.37	4370.65	10.9194	11.7378
52.3525	69.2861	5.44139	6.22952
110.623	104.488	6.32035	6.95709
271.294	322.233	7.20774	8.13428
1502.18	2123.81	10.0539	10.8209
76.632	103.623	5.85155	6.93596
34.2966	53.2244	4.80876	5.66239
2006.72	3602.74	9.08027	10.1925
38.1172	76.5449	4.90878	6.12005
469.036	1163.48	7.70447	8.58286
147.036	143.745	6.74434	7.38385
539.072	687.29	8.48421	9.25408
689.12	966.817	8.86618	9.71522
169.297	406.824	6.36974	7.34652
5559.64	8767.23	11.8119	12.7258
169.497	264.027	6.99392	8.05262
50.4663	80.2587	5.36553	6.53371
158.938	162.387	6.77113	7.42569
4990.12	5386.8	11.8345	12.5021
42.9199	61.1172	5.1373	6.05387
86.9213	102.119	6.11358	6.76352
2293.87	2436.41	10.6014	11.1991
295.988	357.321	7.81183	8.47073
263.111	242.387	7.49686	8.10072
64.5315	75.0212	5.61118	6.24308
