raw_test	raw_control	normal_test	normal_control
435.801	176.808	8.30502	7.46573
163.014	69.2812	6.98964	6.11396
4820.58	2699.26	11.7573	10.9495
3918.89	1677.43	11.4335	10.2817
12906.9	8545.21	13.2544	12.6491
4274.33	2262.17	11.4948	10.7473
1017.35	694.669	8.56464	7.87482
966.419	546.438	8.9201	8.10348
1371.27	1003.18	9.10598	8.39617
155.261	72.2502	6.86869	6.13575
95.8664	42.5932	6.26354	5.46701
115.385	48.3563	6.52428	5.43964
152.823	66.21	6.82108	5.9152
730.965	370.827	8.99215	8.39475
353.024	186.576	7.97212	7.10498
188.281	80.0487	7.1948	6.20805
88.7538	38.6805	6.1805	5.354
400.748	197.3	8.19198	7.46158
48.756	26.1522	5.33435	4.61795
2057.93	1069.38	10.2622	9.29393
384.948	186.172	7.96934	6.95425
295.787	210.65	6.79992	6.14733
187.189	69.3599	7.1326	6.16924
41.0985	22.4413	5.06403	4.47204
59.9868	31.6392	5.59718	4.78378
1548.24	630.181	10.0642	8.64956
594.721	326.325	8.54105	7.87627
2082.53	1464.84	10.2476	9.65083
419.985	231.516	8.21816	7.61891
349.05	165.26	7.70871	7.11471
4861.4	2553.23	10.1905	8.93004
